index,path,line,rule_id,message,false_positive,verdict,confidence,file_accessed,reason,line_text
425,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,138,large_h_payload_built_only_for_json_response,function HandleRedactTextPositions builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""pdf file is required""})"
435,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,188,large_h_payload_built_only_for_json_response,function HandleRedactApply builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""pdf file is required""})"
450,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,297,large_h_payload_built_only_for_json_response,function HandleRedactSearch builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""pdf file is required""})"
1525,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/gopdflib/financial_report/main.go,169,world_readable_file_permissions,function main creates file with overly permissive permissions,true,FALSE_POSITIVE,high,true,Mode 0644 is not world-readable/writable as described by the rule.,"err = os.WriteFile(outputPath, warmUpPDF, 0644)"
1528,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/gopdflib/load_from_json/main.go,88,world_readable_file_permissions,function main creates file with overly permissive permissions,true,FALSE_POSITIVE,high,true,Mode 0644 is not world-readable/writable as described by the rule.,"err = os.WriteFile(outputPath, lastPDF, 0644)"
1529,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/gopdflib/text_wrapping/main.go,30,world_readable_file_permissions,function main creates file with overly permissive permissions,true,FALSE_POSITIVE,high,true,Mode 0644 is not world-readable/writable as described by the rule.,"err = os.WriteFile(outputPath, pdfBytes, 0644)"
1530,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/gopdflib/typst_math/main.go,33,world_readable_file_permissions,function main creates file with overly permissive permissions,true,FALSE_POSITIVE,high,true,Mode 0644 is not world-readable/writable as described by the rule.,"if err := os.WriteFile(outputPath, pdfBytes, 0644); err != nil {"
1570,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/gopdflib/zerodha/main.go,799,world_readable_file_permissions,function main creates file with overly permissive permissions,true,FALSE_POSITIVE,high,true,Mode 0644 is not world-readable/writable as described by the rule.,"if err := os.WriteFile(outPath, data, 0644); err != nil {"
1700,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/python/amazonReceipt/amazonReceipt.py,378,repeated_json_dumps_same_object,function generate_pdf_with_page_margin calls json.dumps(template_payload) multiple times; cache the result in a local variable,true,FALSE_POSITIVE,medium,true,Only one json.dumps(...) call is visible near the flagged line.,"template_json = json.dumps(template_payload).encode(""utf-8"")"
1796,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/samplecode/main.go,146,world_readable_file_permissions,function main creates file with overly permissive permissions,true,FALSE_POSITIVE,high,true,Mode 0644 is not world-readable/writable as described by the rule.,"if err := os.WriteFile(outputPath, outputBytes, 0644); err != nil {"
1809,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,79,test_without_assertion_signal,test TestGenerateTemplatePDF exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestGenerateTemplatePDF() {
1812,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,109,test_without_assertion_signal,test TestMergePDFs exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestMergePDFs() {
1815,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,155,test_without_assertion_signal,test TestFillPDF exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestFillPDF() {
1819,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,213,test_without_assertion_signal,test TestHtmlToPDF exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestHtmlToPDF() {
1821,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,253,test_without_assertion_signal,test TestHtmlToImage exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestHtmlToImage() {
1823,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,294,test_without_assertion_signal,test TestSplitPDF exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestSplitPDF() {
1826,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,346,test_without_assertion_signal,test TestSplitPDFRange exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestSplitPDFRange() {
1829,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,398,test_without_assertion_signal,test TestSplitPDFMaxPerFile exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestSplitPDFMaxPerFile() {
1832,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,450,test_without_assertion_signal,test TestGenerateTypstMathShowcasePDF exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestGenerateTypstMathShowcasePDF() {
1835,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,479,test_without_assertion_signal,test TestGenerateTypstSamplePDF exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func (s *IntegrationSuite) TestGenerateTypstSamplePDF() {
1839,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/test/integration_test.go,542,test_without_assertion_signal,test TestIntegrationSuite exercises code without an obvious assertion signal,true,FALSE_POSITIVE,medium,true,Assertion-like calls are present in the surrounding test body/window.,func TestIntegrationSuite(t *testing.T) {
